Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4999,Trigger Address,4999,
Trigger Level,-4.000E-02,Trigger Level,-4.000E-02,
Source,CH2,Source,Math,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label, ,Label, ,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,Vertical Scale,5.000E+00,
Vertical Position,4.000E-02,Vertical Position,0.000E+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,2.000E-04,Horizontal Scale,5.000E-04,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,2.000E-07,Sampling Period,5.000E-07,
Horizontal Old Scale,2.000E-04,Horizontal Old Scale,5.000E-04,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.23,Firmware,V1.23,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-9.854000e-04,0.360000,-2.463500e-03,-25.599999,
-9.852000e-04,0.400000,-2.463000e-03,-25.599999,
-9.850000e-04,0.360000,-2.462500e-03,-25.599999,
-9.848000e-04,0.360000,-2.462000e-03,-25.599999,
-9.846000e-04,0.360000,-2.461500e-03,-25.599999,
-9.844000e-04,0.360000,-2.461000e-03,-25.599999,
-9.842000e-04,0.360000,-2.460500e-03,-25.599999,
-9.840000e-04,0.360000,-2.460000e-03,-25.599999,
-9.838000e-04,0.360000,-2.459500e-03,-25.599999,
-9.836000e-04,0.360000,-2.459000e-03,-25.599999,
-9.834000e-04,0.360000,-2.458500e-03,-25.599999,
-9.832000e-04,0.360000,-2.458000e-03,-25.599999,
-9.830000e-04,0.360000,-2.457500e-03,-25.599999,
